"partnerId","expirationDate"
"4029566000015","2023-03-17 09:31:40"
"4033872000010","2023-03-20 00:00:00"
"4033872000041","2023-03-20 00:00:00"
"4033872000065","2023-03-20 00:00:00"
"4038777000004","2024-01-29 17:05:19"
"4041407000008","2023-12-01 03:27:00"
"4041408000007","2023-12-01 03:21:00"
"4041408000106","2022-08-12 09:42:25"
"4041408700013","2023-12-01 03:21:00"
"4041409000006","2023-12-01 03:21:00"
"4042805000102","2023-03-24 10:36:15"
"4042805000409","2022-05-01 07:37:12"
"4042805000607","2022-05-01 07:38:32"
"4042805000706","2023-03-24 10:36:15"
"4042805001208","2023-06-08 05:49:18"
"4042805001901","2023-06-08 05:49:18"
"4042805002304","2022-05-01 07:39:50"
"4043581000010","2023-02-21 23:59:59"
"4043581000027","2023-02-21 23:59:59"
"4043581000034","2023-02-21 23:59:59"
"4043581000041","2023-02-21 23:59:59"
"4043581000058","2023-02-21 23:59:59"
"4044479000006","2022-11-09 12:27:50"
"4045399000015","2023-02-07 23:59:59"
"4045399000053","2023-02-07 23:59:59"
"4045458000000","2022-11-09 12:30:35"
"4045458000017","2022-11-09 12:30:35"
"4045458000055","2022-11-09 12:30:35"
"4048454000005","2022-04-28 10:24:47"
"4048454000012","2022-04-28 10:24:06"
"4260016040025","2024-04-04 13:20:33"
"4260016040117","2023-01-16 10:49:33"
"4260016042005","2024-04-04 13:20:33"
"4260154980016","2023-03-31 12:28:10"
"4260154980047","2023-07-20 13:24:26"
"4260154980054","2023-03-31 12:28:10"
"4260154980115","2023-06-29 23:59:59"
"4260214031009","2023-11-09 17:40:41"
"4260214033003","2023-11-26 12:31:00"
"4260289090017","2024-07-19 12:33:49"
"4260289090031","2024-07-19 12:33:49"
"4260394130011","2022-06-05 11:06:32"
"4260400590006","2023-08-13 13:01:27"
"4399901729759","2024-02-14 14:14:10"
"4399901903883","2023-04-27 08:39:13"
"4399902034364","2022-12-15 14:42:47"
"4399902114356","2024-05-16 12:18:05"
"4399902196468","2022-05-21 12:40:32"
"4399902232050","2022-06-19 09:50:07"
"9800000100003","2023-03-18 14:11:28"
"9800000400007","2023-04-16 06:40:51"
"9800000500005","2023-04-16 13:31:41"
"9800000700001","2022-03-24 13:48:43"
"9800000800009","2022-12-20 23:59:59"
"9800000900007","2022-05-27 23:59:59"
"9800001100002","2023-01-20 23:59:59"
"9800001200000","2023-02-27 23:59:59"
"9800001400006","2023-08-31 13:56:34"
"9800001500004","2023-03-31 12:29:40"
"9800001600002","2023-05-17 23:59:59"
"9800001800008","2023-07-25 07:07:57"
"9800001900006","2023-06-30 09:43:58"
"9800002000003","2023-08-10 09:49:13"
"9800002100001","2023-03-05 23:59:59"
"9800002200009","2023-03-06 23:59:59"
"9800002500003","2022-09-20 23:59:59"
"9800002600001","2023-02-21 23:59:59"
"9800002700009","2022-12-30 23:59:59"
"9800002800007","2023-03-31 12:29:40"
"9800002900005","2023-02-21 23:59:59"
"9800003000002","2023-04-23 14:57:06"
"9800003100000","2022-12-17 23:59:59"
"9800003200008","2024-06-09 11:52:48"
"9800003300006","2023-01-05 14:54:36"
"9800003500002","2023-01-22 23:59:59"
"9800003600000","2022-05-07 14:50:12"
"9800003700008","2022-05-03 05:55:46"
"9800003800006","2023-05-14 23:59:59"
"9800004100009","2023-04-12 14:12:17"
"9800004200007","2023-03-31 12:29:40"
"9800004300005","2022-03-31 12:32:42"
"9800004400003","2022-04-28 13:53:11"
"9800004600009","2023-12-03 14:17:00"
"9800004900003","2023-03-31 12:29:40"
"9800005000000","2024-02-14 14:14:10"
"9800005100008","2022-12-09 23:59:59"
"9800005200006","2023-04-21 23:59:59"
"9800005400002","2023-06-05 11:12:00"
"9800005500000","2023-02-18 23:59:59"
"9800005600008","2023-05-04 13:18:56"
"9800005700006","2023-04-09 11:16:09"
"9800005900002","2022-02-12 23:59:59"
"9800006000009","2023-04-24 13:44:51"
"9800006100007","2023-04-06 08:53:31"
"9800006200005","2022-04-23 11:34:31"
"9800006400001","2023-11-04 13:43:00"
"9800006500009","2023-11-04 13:43:00"
"9800006600007","2023-03-31 12:29:40"
"9800006800003","2023-03-31 12:29:40"
"9800006900001","2022-05-27 23:59:59"
"9800007000008","2023-03-31 12:29:40"
"9800007100006","2024-02-14 14:14:10"
"9800007200004","2022-07-16 06:19:16"
"9800007400000","2023-02-11 23:59:59"
"9800007500008","2022-12-05 08:40:59"
"9800007600006","2023-03-31 12:29:40"
"9800007700004","2022-09-02 06:37:41"
"9800007800002","2022-05-11 13:57:08"
"9800007900000","2023-02-04 23:59:59"
"9800008100005","2023-05-13 14:23:29"
"9800008200003","2023-01-14 23:59:59"
"9800008500007","2023-03-18 23:59:59"
"9800008600005","2022-09-30 07:53:30"
"9800008800001","2022-07-26 23:59:59"
"9800009000006","2023-01-16 11:15:00"
"9800009100004","2022-04-23 11:46:57"
"9800009200002","2023-04-09 23:59:59"
"9800009300000","2023-04-21 05:49:40"
"9800009400008","2022-02-04 14:25:00"
"9800009500006","2023-04-21 05:47:14"
"9800009700002","2022-04-24 13:59:44"
"9800009800000","2022-11-04 12:53:54"
"9800009900008","2022-02-07 23:59:59"
"9800010000003","2023-04-08 12:38:58"
"9800010100001","2023-12-07 15:45:00"
"9800010500003","2023-12-01 03:24:00"
"9800010600001","2023-04-08 12:38:58"
"9800010700009","2024-02-14 14:22:45"
"9800010800007","2023-01-29 14:24:59"
"9800010900005","2023-10-25 07:41:38"
"9800011000002","2022-08-06 23:59:59"
"9800011100000","2022-05-02 06:40:50"
"9800011200008","2023-03-04 12:10:40"
"9800011300006","2022-03-07 10:31:27"
"9800011500002","2023-04-24 05:50:53"
"9800011700008","2023-04-23 15:03:04"
"9800012100009","2023-02-26 23:59:59"
"9800012300005","2023-04-07 13:20:34"
"9800012400003","2022-03-26 08:55:21"
"9800012500001","2022-05-02 14:26:57"
"9800012700007","2022-05-17 06:49:31"
"9800012800005","2024-11-10 13:01:39"
"9800012900003","2023-03-06 16:16:26"
"9800013000000","2022-02-11 08:10:06"
"9800013100008","2023-04-03 23:59:59"
"9800013200006","2023-02-23 08:23:51"
"9800013300004","2023-04-03 12:49:00"
"9800013400002","2023-05-11 14:15:35"
"9800013500000","2024-09-05 08:14:04"
"9800013600008","2023-02-06 23:59:59"
"9800013700006","2022-05-27 23:59:59"
"9800013800004","2022-05-27 23:59:59"
"9800013900002","2023-10-28 10:43:30"
"9800014000009","2022-06-19 13:38:37"
"9800014100007","2023-01-28 23:59:59"
"9800014200005","2023-03-31 12:29:40"
"9800014400001","2023-03-31 12:29:40"
"9800014500009","2023-02-23 08:22:24"
"9800014700005","2024-07-19 12:33:49"
"9800014800003","2023-04-09 13:42:30"
"9800014900001","2023-05-05 23:59:59"
"9800015000008","2023-06-02 12:11:00"
"9800015200004","2022-05-27 23:59:59"
"9800015500008","2023-03-31 12:29:40"
"9800015800002","2023-02-20 16:48:52"
"9800015900000","2023-03-31 12:29:40"
"9800016000007","2023-04-16 07:14:01"
"9800016100005","2023-03-31 12:29:40"
"9800016300001","2023-02-20 16:46:15"
"9800016400009","2024-02-14 14:14:10"
"9800016500007","2023-10-28 10:57:20"
"9800016600005","2022-04-24 13:37:11"
"9800016700003","2023-12-09 06:28:00"
"9800016800001","2023-03-19 14:45:35"
"9800016900009","2022-07-05 23:59:59"
"9800017000006","2023-03-31 12:29:40"
"9800017100004","2023-03-19 14:33:46"
"9800017200002","2023-12-09 13:38:35"
"9800017300000","2022-08-07 14:51:14"
"9800017700002","2023-04-02 12:22:09"
"9800017800000","2023-07-01 23:59:59"
"9800017900008","2023-03-31 12:29:40"
"9800018200001","2023-03-31 12:29:40"
"9800018300009","2024-03-16 10:58:29"
"9800018400007","2024-04-12 12:30:54"
"9800018500005","2023-02-24 23:59:59"
"9800018700001","2023-03-10 23:59:59"
"9800018800009","2023-03-10 23:59:59"
"9800018900007","2023-04-14 23:59:59"
"9800019000004","2022-05-02 13:16:29"
